,index,station,linename,traffic,join_station_line,lat,long,county_name,income,longlat
87,471,WORLD TRADE CTR,ACE23,20241.2637363,WORLD TRADE CTR ACE23,40.713333,-74.009033,Manhattan,205192.0,"-74.009033, 40.713333"
7,241,CHAMBERS ST,123,37228.9450549,CHAMBERS ST 123,40.715576,-74.009031,Manhattan,205192.0,"-74.009031, 40.715576"
47,111,5 AV/59 ST,NQR,27740.2637363,5 AV/59 ST NQR,40.764657,-73.972229,Manhattan,171000.0,"-73.972229, 40.764657"
31,232,CANAL ST,ACE,30734.0659341,CANAL ST ACE,40.720758,-74.005399,Manhattan,164656.0,"-74.005399, 40.720758"
37,354,LEXINGTON AV/63,F,29809.8461538,LEXINGTON AV/63 F,40.764881,-73.966411,Manhattan,152353.0,"-73.966411, 40.764881"
9,24,14 ST,123FLM,72496.3956044,14 ST 123FLM,40.738678,-73.995632,Manhattan,150110.0,"-73.995632, 40.738678"
57,120,57 ST,F,25343.7252747,57 ST F,40.764564,-73.97683,Manhattan,144659.0,"-73.97683, 40.764564"
1,131,66 ST-LINCOLN,1,40710.6153846,66 ST-LINCOLN 1,40.773457,-73.982004,Manhattan,142452.0,"-73.982004, 40.773457"
38,171,ASTOR PL,6,29685.4505495,ASTOR PL 6,40.730084,-73.990838,Manhattan,139236.0,"-73.990838, 40.730084"
44,150,8 ST-NYU,NR,28384.1098901,8 ST-NYU NR,40.73038524,-73.99218248,Manhattan,139236.0,"-73.99218248, 40.73038524"
60,83,28 ST,NR,24633.7362637,28 ST NR,40.745089,-73.988472,Manhattan,138750.0,"-73.988472, 40.745089"
85,243,CHAMBERS ST,JZ456,20292.9333333,CHAMBERS ST JZ456,40.714199,-74.003187,Manhattan,135573.0,"-74.003187, 40.714199"
12,226,BROOKLYN BRIDGE,456JZ,35856.6666667,BROOKLYN BRIDGE 456JZ,40.713899,-74.003642,Manhattan,135573.0,"-74.003642, 40.713899"
13,155,86 ST,1,35486.8901099,86 ST 1,40.788272,-73.976083,Manhattan,133427.0,"-73.976083, 40.788272"
88,112,5 AVE,7BDFM,20199.1428571,5 AVE 7BDFM,40.753409,-73.98113,Manhattan,129625.0,"-73.98113, 40.753409"
67,152,81 ST-MUSEUM,BC,23546.1648352,81 ST-MUSEUM BC,40.782254,-73.971741,Manhattan,122674.0,"-73.971741, 40.782254"
14,75,23 ST,NR,35453.2417582,23 ST NR,40.741208,-73.989639,Manhattan,120766.0,"-73.989639, 40.741208"
5,148,8 AV,ACEL,73086.7692308,8 AV ACEL,40.754301,-73.986623,Manhattan,118487.0,"-73.986623, 40.754301"
93,211,BLEECKER ST,6DF,19154.4065934,BLEECKER ST 6DF,40.725845,-73.99432,Manhattan,116250.0,"-73.99432, 40.725845"
62,71,23 ST,1,24373.3296703,23 ST 1,40.74412,-73.995348,Manhattan,114655.0,"-73.995348, 40.74412"
10,73,23 ST,CE,36725.2637363,23 ST CE,40.746483,-73.997142,Manhattan,114655.0,"-73.997142, 40.746483"
28,461,WALL ST,45,30831.5934066,WALL ST 45,40.708436,-74.011298,Manhattan,114412.0,"-74.011298, 40.708436"
29,135,7 AV,BDE,30811.3736264,7 AV BDE,40.762937,-73.981578,Manhattan,110147.0,"-73.981578, 40.762937"
33,114,50 ST,CE,30463.9120879,50 ST CE,40.7629,-73.985412,Manhattan,110147.0,"-73.985412, 40.7629"
74,146,79 ST,1,22929.7032967,79 ST 1,40.783985,-73.979662,Manhattan,108281.0,"-73.979662, 40.783985"
78,81,28 ST,1,21344.8021978,28 ST 1,40.747216,-73.993121,Manhattan,107375.0,"-73.993121, 40.747216"
50,245,CHRISTOPHER ST,1,27338.2417582,CHRISTOPHER ST 1,40.733402,-74.002748,Manhattan,104857.0,"-74.002748, 40.733402"
64,123,59 ST,NQR456,24112.3777778,59 ST NQR456,40.762255,-73.965918,Manhattan,104835.0,"-73.965918, 40.762255"
4,116,51 ST,6,39458.8,51 ST 6,40.757059,-73.97157,Manhattan,98977.0,"-73.97157, 40.757059"
2,82,28 ST,6,40149.8571429,28 ST 6,40.743257,-73.983738,Manhattan,91431.0,"-73.983738, 40.743257"
8,291,FOREST HILLS 71,EFMR,37169.7472527,FOREST HILLS 71 EFMR,40.721916,-73.844352,Queens,90286.0,"-73.844352, 40.721916"
86,276,EAST BROADWAY,F,20242.4065934,EAST BROADWAY F,40.714404,-73.989918,Manhattan,86806.0,"-73.989918, 40.714404"
71,266,DEKALB AV,BDNQR,23296.3846154,DEKALB AV BDNQR,40.689817,-73.981082,Brooklyn,83688.0,"-73.981082, 40.689817"
42,164,96 ST,6,28410.6043956,96 ST 6,40.785903,-73.950695,Manhattan,83158.0,"-73.950695, 40.785903"
81,321,HOUSTON ST,1,20843.9340659,HOUSTON ST 1,40.728656,-74.005086,Manhattan,74706.0,"-74.005086, 40.728656"
76,433,SPRING ST,6,21940.8681319,SPRING ST 6,40.722235,-73.996818,Manhattan,67449.0,"-73.996818, 40.722235"
41,410,PRINCE ST,NR,28954.2197802,PRINCE ST NR,40.72422,-73.997633,Manhattan,67449.0,"-73.997633, 40.72422"
92,17,125 ST,23,19809.989011,125 ST 23,40.807875,-73.945229,Manhattan,64286.0,"-73.945229, 40.807875"
66,456,VERNON-JACKSON,7,23649.7472527,VERNON-JACKSON 7,40.742496,-73.952482,Queens,62031.0,"-73.952482, 40.742496"
23,62,2 AV,F,32018.1538462,2 AV F,40.7232,-73.988863,Manhattan,55565.0,"-73.988863, 40.7232"
51,308,GRAND-NEWTOWN,MR,26540.967033,GRAND-NEWTOWN MR,40.736277,-73.876424,Queens,55488.0,"-73.876424, 40.736277"
40,173,ASTORIA DITMARS,NQ,29006.0769231,ASTORIA DITMARS NQ,40.775025,-73.911891,Queens,54510.0,"-73.911891, 40.775025"
26,469,WOODHAVEN BLVD,MR,31527.0989011,WOODHAVEN BLVD MR,40.733555,-73.869588,Queens,53750.0,"-73.869588, 40.733555"
83,129,63 DR-REGO PARK,MR,20712.6373626,63 DR-REGO PARK MR,40.730037,-73.861343,Queens,53667.0,"-73.861343, 40.730037"
80,222,BROADWAY,NQ,21044.2637363,BROADWAY NQ,40.762217,-73.925349,Queens,51903.0,"-73.925349, 40.762217"
3,440,SUTPHIN-ARCHER,EJZ,39479.6593407,SUTPHIN-ARCHER EJZ,40.700554,-73.807353,Queens,50417.0,"-73.807353, 40.700554"
48,330,JAMAICA 179 ST,F,27628.2637363,JAMAICA 179 ST F,40.712581,-73.783377,Queens,47813.0,"-73.783377, 40.712581"
24,4,103 ST-CORONA,7,31588.8681319,103 ST-CORONA 7,40.749787,-73.862389,Queens,47560.0,"-73.862389, 40.749787"
22,342,KINGS HWY,BQ,32149.1428571,KINGS HWY BQ,40.608835,-73.957769,Brooklyn,47135.0,"-73.957769, 40.608835"
27,153,82 ST-JACKSON H,7,30865.5714286,82 ST-JACKSON H 7,40.747812,-73.883876,Queens,46622.0,"-73.883876, 40.747812"
